index,label,lr_path,hr_path,split
89,Group,E:\TT_exported\test\easy\lr\000000089.png,E:\TT_exported\test\easy\hr\000000089.png,test\easy
90,Galore,E:\TT_exported\test\easy\lr\000000090.png,E:\TT_exported\test\easy\hr\000000090.png,test\easy
91,Galore,E:\TT_exported\test\easy\lr\000000091.png,E:\TT_exported\test\easy\hr\000000091.png,test\easy
92,Group,E:\TT_exported\test\easy\lr\000000092.png,E:\TT_exported\test\easy\hr\000000092.png,test\easy
93,Galore,E:\TT_exported\test\easy\lr\000000093.png,E:\TT_exported\test\easy\hr\000000093.png,test\easy
94,Group,E:\TT_exported\test\easy\lr\000000094.png,E:\TT_exported\test\easy\hr\000000094.png,test\easy
95,Galore,E:\TT_exported\test\easy\lr\000000095.png,E:\TT_exported\test\easy\hr\000000095.png,test\easy
96,Group,E:\TT_exported\test\easy\lr\000000096.png,E:\TT_exported\test\easy\hr\000000096.png,test\easy
97,Galore,E:\TT_exported\test\easy\lr\000000097.png,E:\TT_exported\test\easy\hr\000000097.png,test\easy
98,Chan,E:\TT_exported\test\easy\lr\000000098.png,E:\TT_exported\test\easy\hr\000000098.png,test\easy
99,CS,E:\TT_exported\test\easy\lr\000000099.png,E:\TT_exported\test\easy\hr\000000099.png,test\easy
100,Chan,E:\TT_exported\test\easy\lr\000000100.png,E:\TT_exported\test\easy\hr\000000100.png,test\easy
101,CS,E:\TT_exported\test\easy\lr\000000101.png,E:\TT_exported\test\easy\hr\000000101.png,test\easy
102,Chan,E:\TT_exported\test\easy\lr\000000102.png,E:\TT_exported\test\easy\hr\000000102.png,test\easy
103,CS,E:\TT_exported\test\easy\lr\000000103.png,E:\TT_exported\test\easy\hr\000000103.png,test\easy
104,Chan,E:\TT_exported\test\easy\lr\000000104.png,E:\TT_exported\test\easy\hr\000000104.png,test\easy
105,CS,E:\TT_exported\test\easy\lr\000000105.png,E:\TT_exported\test\easy\hr\000000105.png,test\easy
106,Poon,E:\TT_exported\test\easy\lr\000000106.png,E:\TT_exported\test\easy\hr\000000106.png,test\easy
107,SK,E:\TT_exported\test\easy\lr\000000107.png,E:\TT_exported\test\easy\hr\000000107.png,test\easy
108,Staff,E:\TT_exported\test\easy\lr\000000108.png,E:\TT_exported\test\easy\hr\000000108.png,test\easy
109,IC,E:\TT_exported\test\easy\lr\000000109.png,E:\TT_exported\test\easy\hr\000000109.png,test\easy
110,Staff,E:\TT_exported\test\easy\lr\000000110.png,E:\TT_exported\test\easy\hr\000000110.png,test\easy
111,IC,E:\TT_exported\test\easy\lr\000000111.png,E:\TT_exported\test\easy\hr\000000111.png,test\easy
112,Staff,E:\TT_exported\test\easy\lr\000000112.png,E:\TT_exported\test\easy\hr\000000112.png,test\easy
113,IC,E:\TT_exported\test\easy\lr\000000113.png,E:\TT_exported\test\easy\hr\000000113.png,test\easy
114,Staff,E:\TT_exported\test\easy\lr\000000114.png,E:\TT_exported\test\easy\hr\000000114.png,test\easy
115,IC,E:\TT_exported\test\easy\lr\000000115.png,E:\TT_exported\test\easy\hr\000000115.png,test\easy
116,Staff,E:\TT_exported\test\easy\lr\000000116.png,E:\TT_exported\test\easy\hr\000000116.png,test\easy
117,IC,E:\TT_exported\test\easy\lr\000000117.png,E:\TT_exported\test\easy\hr\000000117.png,test\easy
118,Feng,E:\TT_exported\test\easy\lr\000000118.png,E:\TT_exported\test\easy\hr\000000118.png,test\easy
119,Ying,E:\TT_exported\test\easy\lr\000000119.png,E:\TT_exported\test\easy\hr\000000119.png,test\easy
120,Feng,E:\TT_exported\test\easy\lr\000000120.png,E:\TT_exported\test\easy\hr\000000120.png,test\easy
121,Ying,E:\TT_exported\test\easy\lr\000000121.png,E:\TT_exported\test\easy\hr\000000121.png,test\easy
122,Feng,E:\TT_exported\test\easy\lr\000000122.png,E:\TT_exported\test\easy\hr\000000122.png,test\easy
123,Ying,E:\TT_exported\test\easy\lr\000000123.png,E:\TT_exported\test\easy\hr\000000123.png,test\easy
124,Feng,E:\TT_exported\test\easy\lr\000000124.png,E:\TT_exported\test\easy\hr\000000124.png,test\easy
125,Ying,E:\TT_exported\test\easy\lr\000000125.png,E:\TT_exported\test\easy\hr\000000125.png,test\easy
126,Feng,E:\TT_exported\test\easy\lr\000000126.png,E:\TT_exported\test\easy\hr\000000126.png,test\easy
127,Ying,E:\TT_exported\test\easy\lr\000000127.png,E:\TT_exported\test\easy\hr\000000127.png,test\easy
128,Feng,E:\TT_exported\test\easy\lr\000000128.png,E:\TT_exported\test\easy\hr\000000128.png,test\easy
129,Ying,E:\TT_exported\test\easy\lr\000000129.png,E:\TT_exported\test\easy\hr\000000129.png,test\easy
130,Feng,E:\TT_exported\test\easy\lr\000000130.png,E:\TT_exported\test\easy\hr\000000130.png,test\easy
131,Ying,E:\TT_exported\test\easy\lr\000000131.png,E:\TT_exported\test\easy\hr\000000131.png,test\easy
132,Feng,E:\TT_exported\test\easy\lr\000000132.png,E:\TT_exported\test\easy\hr\000000132.png,test\easy
133,Ying,E:\TT_exported\test\easy\lr\000000133.png,E:\TT_exported\test\easy\hr\000000133.png,test\easy
134,Feng,E:\TT_exported\test\easy\lr\000000134.png,E:\TT_exported\test\easy\hr\000000134.png,test\easy
135,Ying,E:\TT_exported\test\easy\lr\000000135.png,E:\TT_exported\test\easy\hr\000000135.png,test\easy
136,Feng,E:\TT_exported\test\easy\lr\000000136.png,E:\TT_exported\test\easy\hr\000000136.png,test\easy
137,Ying,E:\TT_exported\test\easy\lr\000000137.png,E:\TT_exported\test\easy\hr\000000137.png,test\easy
138,Feng,E:\TT_exported\test\easy\lr\000000138.png,E:\TT_exported\test\easy\hr\000000138.png,test\easy
139,Ying,E:\TT_exported\test\easy\lr\000000139.png,E:\TT_exported\test\easy\hr\000000139.png,test\easy
140,Feng,E:\TT_exported\test\easy\lr\000000140.png,E:\TT_exported\test\easy\hr\000000140.png,test\easy
141,Ying,E:\TT_exported\test\easy\lr\000000141.png,E:\TT_exported\test\easy\hr\000000141.png,test\easy
142,Feng,E:\TT_exported\test\easy\lr\000000142.png,E:\TT_exported\test\easy\hr\000000142.png,test\easy
143,Ying,E:\TT_exported\test\easy\lr\000000143.png,E:\TT_exported\test\easy\hr\000000143.png,test\easy
144,Feng,E:\TT_exported\test\easy\lr\000000144.png,E:\TT_exported\test\easy\hr\000000144.png,test\easy
145,Ying,E:\TT_exported\test\easy\lr\000000145.png,E:\TT_exported\test\easy\hr\000000145.png,test\easy
146,1,E:\TT_exported\test\easy\lr\000000146.png,E:\TT_exported\test\easy\hr\000000146.png,test\easy
147,2,E:\TT_exported\test\easy\lr\000000147.png,E:\TT_exported\test\easy\hr\000000147.png,test\easy
148,3,E:\TT_exported\test\easy\lr\000000148.png,E:\TT_exported\test\easy\hr\000000148.png,test\easy
149,Instruction,E:\TT_exported\test\easy\lr\000000149.png,E:\TT_exported\test\easy\hr\000000149.png,test\easy
150,Dialling,E:\TT_exported\test\easy\lr\000000150.png,E:\TT_exported\test\easy\hr\000000150.png,test\easy
151,Payment,E:\TT_exported\test\easy\lr\000000151.png,E:\TT_exported\test\easy\hr\000000151.png,test\easy
152,Useful,E:\TT_exported\test\easy\lr\000000152.png,E:\TT_exported\test\easy\hr\000000152.png,test\easy
153,800963475,E:\TT_exported\test\easy\lr\000000153.png,E:\TT_exported\test\easy\hr\000000153.png,test\easy
154,999,E:\TT_exported\test\easy\lr\000000154.png,E:\TT_exported\test\easy\hr\000000154.png,test\easy
155,Wi-Fi,E:\TT_exported\test\easy\lr\000000155.png,E:\TT_exported\test\easy\hr\000000155.png,test\easy
156,PCCW,E:\TT_exported\test\easy\lr\000000156.png,E:\TT_exported\test\easy\hr\000000156.png,test\easy
157,via,E:\TT_exported\test\easy\lr\000000157.png,E:\TT_exported\test\easy\hr\000000157.png,test\easy
158,Info,E:\TT_exported\test\easy\lr\000000158.png,E:\TT_exported\test\easy\hr\000000158.png,test\easy
159,Tourist,E:\TT_exported\test\easy\lr\000000159.png,E:\TT_exported\test\easy\hr\000000159.png,test\easy
160,FREE,E:\TT_exported\test\easy\lr\000000160.png,E:\TT_exported\test\easy\hr\000000160.png,test\easy
161,800963475,E:\TT_exported\test\easy\lr\000000161.png,E:\TT_exported\test\easy\hr\000000161.png,test\easy
162,Master,E:\TT_exported\test\easy\lr\000000162.png,E:\TT_exported\test\easy\hr\000000162.png,test\easy
163,800963475,E:\TT_exported\test\easy\lr\000000163.png,E:\TT_exported\test\easy\hr\000000163.png,test\easy
164,CALLS,E:\TT_exported\test\easy\lr\000000164.png,E:\TT_exported\test\easy\hr\000000164.png,test\easy
165,CARD,E:\TT_exported\test\easy\lr\000000165.png,E:\TT_exported\test\easy\hr\000000165.png,test\easy
166,CREDIT,E:\TT_exported\test\easy\lr\000000166.png,E:\TT_exported\test\easy\hr\000000166.png,test\easy
167,INTERNATIONAL,E:\TT_exported\test\easy\lr\000000167.png,E:\TT_exported\test\easy\hr\000000167.png,test\easy
168,ASSISTANCE,E:\TT_exported\test\easy\lr\000000168.png,E:\TT_exported\test\easy\hr\000000168.png,test\easy
169,OPERATOR,E:\TT_exported\test\easy\lr\000000169.png,E:\TT_exported\test\easy\hr\000000169.png,test\easy
170,INTERNATIONAL,E:\TT_exported\test\easy\lr\000000170.png,E:\TT_exported\test\easy\hr\000000170.png,test\easy
171,Call,E:\TT_exported\test\easy\lr\000000171.png,E:\TT_exported\test\easy\hr\000000171.png,test\easy
172,1,E:\TT_exported\test\easy\lr\000000172.png,E:\TT_exported\test\easy\hr\000000172.png,test\easy
173,Call,E:\TT_exported\test\easy\lr\000000173.png,E:\TT_exported\test\easy\hr\000000173.png,test\easy
174,Extend,E:\TT_exported\test\easy\lr\000000174.png,E:\TT_exported\test\easy\hr\000000174.png,test\easy
175,2,E:\TT_exported\test\easy\lr\000000175.png,E:\TT_exported\test\easy\hr\000000175.png,test\easy
176,Call,E:\TT_exported\test\easy\lr\000000176.png,E:\TT_exported\test\easy\hr\000000176.png,test\easy
177,Finish,E:\TT_exported\test\easy\lr\000000177.png,E:\TT_exported\test\easy\hr\000000177.png,test\easy
178,3,E:\TT_exported\test\easy\lr\000000178.png,E:\TT_exported\test\easy\hr\000000178.png,test\easy
179,free,E:\TT_exported\test\easy\lr\000000179.png,E:\TT_exported\test\easy\hr\000000179.png,test\easy
180,"Ambulance,",E:\TT_exported\test\easy\lr\000000180.png,E:\TT_exported\test\easy\hr\000000180.png,test\easy
181,Fire/,E:\TT_exported\test\easy\lr\000000181.png,E:\TT_exported\test\easy\hr\000000181.png,test\easy
182,Police/,E:\TT_exported\test\easy\lr\000000182.png,E:\TT_exported\test\easy\hr\000000182.png,test\easy
183,For,E:\TT_exported\test\easy\lr\000000183.png,E:\TT_exported\test\easy\hr\000000183.png,test\easy
184,2,E:\TT_exported\test\easy\lr\000000184.png,E:\TT_exported\test\easy\hr\000000184.png,test\easy
185,Waterfall,E:\TT_exported\test\easy\lr\000000185.png,E:\TT_exported\test\easy\hr\000000185.png,test\easy
186,3rd,E:\TT_exported\test\easy\lr\000000186.png,E:\TT_exported\test\easy\hr\000000186.png,test\easy
187,The,E:\TT_exported\test\easy\lr\000000187.png,E:\TT_exported\test\easy\hr\000000187.png,test\easy
188,Seonim,E:\TT_exported\test\easy\lr\000000188.png,E:\TT_exported\test\easy\hr\000000188.png,test\easy
189,gyo,E:\TT_exported\test\easy\lr\000000189.png,E:\TT_exported\test\easy\hr\000000189.png,test\easy
190,Bridge,E:\TT_exported\test\easy\lr\000000190.png,E:\TT_exported\test\easy\hr\000000190.png,test\easy
191,Available,E:\TT_exported\test\easy\lr\000000191.png,E:\TT_exported\test\easy\hr\000000191.png,test\easy
192,Here,E:\TT_exported\test\easy\lr\000000192.png,E:\TT_exported\test\easy\hr\000000192.png,test\easy
193,Wi-Fi.,E:\TT_exported\test\easy\lr\000000193.png,E:\TT_exported\test\easy\hr\000000193.png,test\easy
194,HK,E:\TT_exported\test\easy\lr\000000194.png,E:\TT_exported\test\easy\hr\000000194.png,test\easy
195,Poly,E:\TT_exported\test\easy\lr\000000195.png,E:\TT_exported\test\easy\hr\000000195.png,test\easy
196,eduroam,E:\TT_exported\test\easy\lr\000000196.png,E:\TT_exported\test\easy\hr\000000196.png,test\easy
197,NO,E:\TT_exported\test\easy\lr\000000197.png,E:\TT_exported\test\easy\hr\000000197.png,test\easy
198,SMOKING,E:\TT_exported\test\easy\lr\000000198.png,E:\TT_exported\test\easy\hr\000000198.png,test\easy
199,ON,E:\TT_exported\test\easy\lr\000000199.png,E:\TT_exported\test\easy\hr\000000199.png,test\easy
200,CAMPUS,E:\TT_exported\test\easy\lr\000000200.png,E:\TT_exported\test\easy\hr\000000200.png,test\easy
201,FACILITIES,E:\TT_exported\test\easy\lr\000000201.png,E:\TT_exported\test\easy\hr\000000201.png,test\easy
202,ACCESS,E:\TT_exported\test\easy\lr\000000202.png,E:\TT_exported\test\easy\hr\000000202.png,test\easy
203,FREE,E:\TT_exported\test\easy\lr\000000203.png,E:\TT_exported\test\easy\hr\000000203.png,test\easy
204,BARRIER,E:\TT_exported\test\easy\lr\000000204.png,E:\TT_exported\test\easy\hr\000000204.png,test\easy
205,OF,E:\TT_exported\test\easy\lr\000000205.png,E:\TT_exported\test\easy\hr\000000205.png,test\easy
206,PROVISION,E:\TT_exported\test\easy\lr\000000206.png,E:\TT_exported\test\easy\hr\000000206.png,test\easy
207,OF,E:\TT_exported\test\easy\lr\000000207.png,E:\TT_exported\test\easy\hr\000000207.png,test\easy
208,DESCRIPTION,E:\TT_exported\test\easy\lr\000000208.png,E:\TT_exported\test\easy\hr\000000208.png,test\easy
209,THE,E:\TT_exported\test\easy\lr\000000209.png,E:\TT_exported\test\easy\hr\000000209.png,test\easy
210,FOR,E:\TT_exported\test\easy\lr\000000210.png,E:\TT_exported\test\easy\hr\000000210.png,test\easy
211,WE,E:\TT_exported\test\easy\lr\000000211.png,E:\TT_exported\test\easy\hr\000000211.png,test\easy
212,973,E:\TT_exported\test\easy\lr\000000212.png,E:\TT_exported\test\easy\hr\000000212.png,test\easy
213,1:1,E:\TT_exported\test\easy\lr\000000213.png,E:\TT_exported\test\easy\hr\000000213.png,test\easy
214,10,E:\TT_exported\test\easy\lr\000000214.png,E:\TT_exported\test\easy\hr\000000214.png,test\easy
215,9,E:\TT_exported\test\easy\lr\000000215.png,E:\TT_exported\test\easy\hr\000000215.png,test\easy
216,8,E:\TT_exported\test\easy\lr\000000216.png,E:\TT_exported\test\easy\hr\000000216.png,test\easy
217,7,E:\TT_exported\test\easy\lr\000000217.png,E:\TT_exported\test\easy\hr\000000217.png,test\easy
218,6,E:\TT_exported\test\easy\lr\000000218.png,E:\TT_exported\test\easy\hr\000000218.png,test\easy
219,5,E:\TT_exported\test\easy\lr\000000219.png,E:\TT_exported\test\easy\hr\000000219.png,test\easy
220,4,E:\TT_exported\test\easy\lr\000000220.png,E:\TT_exported\test\easy\hr\000000220.png,test\easy
221,3,E:\TT_exported\test\easy\lr\000000221.png,E:\TT_exported\test\easy\hr\000000221.png,test\easy
222,2,E:\TT_exported\test\easy\lr\000000222.png,E:\TT_exported\test\easy\hr\000000222.png,test\easy
223,1,E:\TT_exported\test\easy\lr\000000223.png,E:\TT_exported\test\easy\hr\000000223.png,test\easy
224,10,E:\TT_exported\test\easy\lr\000000224.png,E:\TT_exported\test\easy\hr\000000224.png,test\easy
225,50,E:\TT_exported\test\easy\lr\000000225.png,E:\TT_exported\test\easy\hr\000000225.png,test\easy
226,PE94463198,E:\TT_exported\test\easy\lr\000000226.png,E:\TT_exported\test\easy\hr\000000226.png,test\easy
227,1,E:\TT_exported\test\easy\lr\000000227.png,E:\TT_exported\test\easy\hr\000000227.png,test\easy
228,3,E:\TT_exported\test\easy\lr\000000228.png,E:\TT_exported\test\easy\hr\000000228.png,test\easy
229,5,E:\TT_exported\test\easy\lr\000000229.png,E:\TT_exported\test\easy\hr\000000229.png,test\easy
230,7,E:\TT_exported\test\easy\lr\000000230.png,E:\TT_exported\test\easy\hr\000000230.png,test\easy
231,9,E:\TT_exported\test\easy\lr\000000231.png,E:\TT_exported\test\easy\hr\000000231.png,test\easy
232,10,E:\TT_exported\test\easy\lr\000000232.png,E:\TT_exported\test\easy\hr\000000232.png,test\easy
233,8,E:\TT_exported\test\easy\lr\000000233.png,E:\TT_exported\test\easy\hr\000000233.png,test\easy
234,6,E:\TT_exported\test\easy\lr\000000234.png,E:\TT_exported\test\easy\hr\000000234.png,test\easy
235,4,E:\TT_exported\test\easy\lr\000000235.png,E:\TT_exported\test\easy\hr\000000235.png,test\easy
236,2,E:\TT_exported\test\easy\lr\000000236.png,E:\TT_exported\test\easy\hr\000000236.png,test\easy
237,2,E:\TT_exported\test\easy\lr\000000237.png,E:\TT_exported\test\easy\hr\000000237.png,test\easy
238,2,E:\TT_exported\test\easy\lr\000000238.png,E:\TT_exported\test\easy\hr\000000238.png,test\easy
239,8,E:\TT_exported\test\easy\lr\000000239.png,E:\TT_exported\test\easy\hr\000000239.png,test\easy
240,10,E:\TT_exported\test\easy\lr\000000240.png,E:\TT_exported\test\easy\hr\000000240.png,test\easy
241,9,E:\TT_exported\test\easy\lr\000000241.png,E:\TT_exported\test\easy\hr\000000241.png,test\easy
242,7,E:\TT_exported\test\easy\lr\000000242.png,E:\TT_exported\test\easy\hr\000000242.png,test\easy
243,5,E:\TT_exported\test\easy\lr\000000243.png,E:\TT_exported\test\easy\hr\000000243.png,test\easy
244,3,E:\TT_exported\test\easy\lr\000000244.png,E:\TT_exported\test\easy\hr\000000244.png,test\easy
